Year,Month,DayofMonth,FlightDate,Marketing_Airline_Network,OriginCityName,DestCityName,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2021,4,6,2021-04-06,WN,"Washington, DC","Detroit, MI",1139,1133.0,-6.0,0.0,9.0,1142.0,1249.0,5.0,1315,1254.0,-21.0,0.0,96.0,81.0,67.0,405.0,2,0.0,0.0,0.0,0.0,0.0
2019,4,12,2019-04-12,WN,"Indianapolis, IN","Los Angeles, CA",1325,1320.0,-5.0,0.0,7.0,1327.0,1431.0,7.0,1505,1438.0,-27.0,0.0,280.0,258.0,244.0,1814.0,8,0.0,0.0,0.0,0.0,0.0
2018,7,6,2018-07-06,WN,"Kodiak, AK","Anchorage, AK",1656,1651.0,-5.0,0.0,4.0,1655.0,1734.0,3.0,1753,1737.0,-16.0,0.0,57.0,46.0,39.0,253.0,2,0.0,0.0,0.0,0.0,0.0
2022,2,24,2022-02-24,WN,"Sacramento, CA","San Diego, CA",1510,1535.0,25.0,25.0,8.0,1543.0,1648.0,5.0,1635,1653.0,18.0,18.0,85.0,78.0,65.0,480.0,2,8.0,0.0,0.0,0.0,10.0
2020,7,25,2020-07-25,WN,"Denver, CO","Boston, MA",1745,1754.0,9.0,9.0,14.0,1808.0,2343.0,4.0,2355,2347.0,-8.0,0.0,250.0,233.0,215.0,1754.0,8,0.0,0.0,0.0,0.0,0.0
2018,11,5,2018-11-05,WN,"Seattle, WA","St. Louis, MO",925,925.0,0.0,0.0,12.0,937.0,1451.0,3.0,1510,1454.0,-16.0,0.0,225.0,209.0,194.0,1709.0,7,0.0,0.0,0.0,0.0,0.0
2018,7,20,2018-07-20,WN,"Charlottesville, VA","Atlanta, GA",1845,1929.0,44.0,44.0,13.0,1942.0,2050.0,8.0,2030,2058.0,28.0,28.0,105.0,89.0,68.0,457.0,2,28.0,0.0,0.0,0.0,0.0
2019,8,6,2019-08-06,WN,"Kansas City, MO","Baltimore, MD",1735,1734.0,-1.0,0.0,7.0,1741.0,2051.0,22.0,2050,2113.0,23.0,23.0,135.0,159.0,130.0,967.0,4,0.0,0.0,23.0,0.0,0.0
2020,8,16,2020-08-16,WN,"Dallas/Fort Worth, TX","Kansas City, MO",2045,2213.0,88.0,88.0,19.0,2232.0,2339.0,4.0,2223,2343.0,80.0,80.0,98.0,90.0,67.0,460.0,2,0.0,80.0,0.0,0.0,0.0
2018,1,14,2018-01-14,WN,"Richmond, VA","Charlotte, NC",1106,1103.0,-3.0,0.0,9.0,1112.0,1213.0,4.0,1231,1217.0,-14.0,0.0,85.0,74.0,61.0,257.0,2,0.0,0.0,0.0,0.0,0.0
2018,9,2,2018-09-02,WN,"Denver, CO","Des Moines, IA",1235,1231.0,-4.0,0.0,10.0,1241.0,1459.0,4.0,1521,1503.0,-18.0,0.0,106.0,92.0,78.0,589.0,3,0.0,0.0,0.0,0.0,0.0
2018,9,4,2018-09-04,WN,"Jacksonville, FL","Washington, DC",1405,1404.0,-1.0,0.0,11.0,1415.0,1542.0,8.0,1553,1550.0,-3.0,0.0,108.0,106.0,87.0,630.0,3,0.0,0.0,0.0,0.0,0.0
2022,8,11,2022-08-11,WN,"Atlanta, GA","Fort Lauderdale, FL",530,527.0,-3.0,0.0,12.0,539.0,700.0,11.0,726,711.0,-15.0,0.0,116.0,104.0,81.0,581.0,3,0.0,0.0,0.0,0.0,0.0
2021,12,13,2021-12-13,WN,"Santa Ana, CA","Las Vegas, NV",911,907.0,-4.0,0.0,11.0,918.0,953.0,12.0,1022,1005.0,-17.0,0.0,71.0,58.0,35.0,226.0,1,0.0,0.0,0.0,0.0,0.0
2019,5,23,2019-05-23,WN,"Charlotte, NC","Atlanta, GA",1600,1605.0,5.0,5.0,16.0,1621.0,1701.0,5.0,1716,1706.0,-10.0,0.0,76.0,61.0,40.0,226.0,1,0.0,0.0,0.0,0.0,0.0
