airport,flights,delayed,delay_min,delay_rate,avg_delay_min_per_arrival,flights_norm,delay_rate_norm,avg_delay_min_per_arrival_norm,priority_score,dominant_cause,recommendation
LAS,81836.0,20978.0,1084993.0,0.25634195219707706,13.258138227674863,0.8828351798897502,0.63236272137165,0.6105176546276436,0.7259981847556882,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
DEN,92612.0,20716.0,1141852.0,0.22368591543212543,12.329417354122576,1.0,0.4257048921586224,0.5127252542115209,0.681529043911043,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
SFO,8749.0,2751.0,139633.0,0.31443593553548976,15.959881129271917,0.08817805225446598,1.0,0.8950056328549588,0.6037729107582741,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
SJU,3651.0,1110.0,61910.0,0.3040262941659819,16.956998082717064,0.03274874147847738,0.9341244651397059,1.0,0.5933368361333027,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
DSM,1659.0,502.0,26761.0,0.3025919228450874,16.130801687763714,0.011090211257651703,0.925047305360794,0.9130032165976872,0.555851241090605,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
MCO,39502.0,9656.0,560243.0,0.24444331932560376,14.182648979798492,0.4225479216726648,0.557064372783908,0.7078667379048104,0.5484985018756814,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
BOS,5916.0,1741.0,93035.0,0.2942866801893171,15.725997295469913,0.05737553412414513,0.8724890775916786,0.8703781455470236,0.5458103805912687,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
FAT,1418.0,445.0,21129.0,0.3138222849083216,14.900564174894217,0.008469877029128114,0.9961166228646002,0.7834617333689318,0.5372614576817107,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
MDW,76876.0,15638.0,841065.0,0.20341849211717572,10.940540610853843,0.8289063094603851,0.2974461651074491,0.36647938586264983,0.5307401890751837,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
DAL,69849.0,14296.0,776423.0,0.20467007401680767,11.115735372016779,0.7525034521000729,0.30536657505559855,0.38492703436754616,0.5080894636669726,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
PBI,2095.0,605.0,32000.0,0.28878281622911695,15.274463007159904,0.015830732932491057,0.8376588688163285,0.8228325124278651,0.5044797075462545,carrier_delay,"Increase buffer in rotation plan, strengthen maintenance and ground staffing."
MEM,2949.0,853.0,44331.0,0.28925059342149884,15.032553407934893,0.02511606667174062,0.8406191122723488,0.7973599285056043,0.5014401389020822,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
MIA,6529.0,1776.0,97422.0,0.27201715423495176,14.921427477408486,0.0640405336348711,0.7315604056754456,0.7856585962709942,0.48078191403788034,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
ROC,1926.0,557.0,27960.0,0.28920041536863966,14.517133956386292,0.013993237145684059,0.8403015695297112,0.7430873189159144,0.48061396139196133,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
PHX,61436.0,13233.0,659582.0,0.2153948824793281,10.736083078325413,0.6610309547367162,0.3732365879277273,0.34495042763795136,0.47986848656439013,late_aircraft_delay,"Better block times, turnaround efficiency, reserve aircraft to break cascade effects."
