year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,DL,Delta Air Lines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",144.0,31.0,15.53,0.08,8.77,0.0,6.62,2.0,0.0,1513.0,741.0,10.0,310.0,0.0,452.0
2023,8,DL,Delta Air Lines Inc.,ALB,"Albany, NY: Albany International",120.0,38.0,21.66,2.89,4.11,0.0,9.34,3.0,0.0,3431.0,2293.0,134.0,145.0,0.0,859.0
2023,8,DL,Delta Air Lines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",331.0,44.0,16.98,2.87,15.33,0.0,8.82,0.0,1.0,2346.0,1226.0,227.0,363.0,0.0,530.0
2023,8,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19716.0,3416.0,928.68,169.57,935.84,1.0,1380.91,475.0,125.0,303248.0,110115.0,22089.0,70200.0,43.0,100801.0
2023,8,DL,Delta Air Lines Inc.,ATW,"Appleton, WI: Appleton International",31.0,4.0,1.09,1.0,0.79,0.0,1.12,1.0,0.0,574.0,125.0,292.0,105.0,0.0,52.0
2023,8,DL,Delta Air Lines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",1082.0,242.0,121.28,5.98,40.5,0.0,74.24,20.0,5.0,19570.0,10166.0,817.0,2111.0,0.0,6476.0
2023,8,DL,Delta Air Lines Inc.,AVL,"Asheville, NC: Asheville Regional",191.0,38.0,14.94,5.02,8.19,0.0,9.85,7.0,0.0,2336.0,848.0,280.0,414.0,0.0,794.0
2023,8,DL,Delta Air Lines Inc.,BDL,"Hartford, CT: Bradley International",361.0,56.0,37.15,2.4,5.12,0.0,11.32,2.0,0.0,4051.0,2959.0,176.0,258.0,0.0,658.0
2023,8,DL,Delta Air Lines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",254.0,54.0,24.52,3.1,10.8,0.0,15.58,14.0,0.0,3290.0,1132.0,519.0,429.0,0.0,1210.0
2023,8,DL,Delta Air Lines Inc.,BIL,"Billings, MT: Billings Logan International",103.0,21.0,15.58,0.0,1.44,0.0,3.98,2.0,0.0,1672.0,1254.0,0.0,60.0,0.0,358.0
2023,8,DL,Delta Air Lines Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",31.0,12.0,8.13,0.0,1.41,0.0,2.45,0.0,0.0,811.0,579.0,0.0,55.0,0.0,177.0
2023,8,DL,Delta Air Lines Inc.,BNA,"Nashville, TN: Nashville International",736.0,152.0,77.38,7.17,24.1,0.0,43.36,9.0,0.0,10263.0,4982.0,626.0,1360.0,0.0,3295.0
2023,8,DL,Delta Air Lines Inc.,BOI,"Boise, ID: Boise Air Terminal",283.0,51.0,21.86,4.01,10.44,0.0,14.69,3.0,0.0,3198.0,1584.0,240.0,441.0,0.0,933.0
2023,8,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",2338.0,498.0,129.94,16.81,147.11,0.0,204.14,27.0,3.0,37855.0,12993.0,1479.0,6823.0,0.0,16560.0
2023,8,DL,Delta Air Lines Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",143.0,23.0,13.16,1.47,4.68,0.0,3.68,4.0,1.0,2031.0,1280.0,175.0,402.0,0.0,174.0
2023,8,DL,Delta Air Lines Inc.,BTV,"Burlington, VT: Burlington International",44.0,10.0,5.15,0.08,1.93,0.0,2.84,0.0,0.0,558.0,253.0,15.0,53.0,0.0,237.0
2023,8,DL,Delta Air Lines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",250.0,78.0,40.4,2.74,15.61,0.0,19.26,5.0,0.0,5486.0,3022.0,295.0,671.0,0.0,1498.0
2023,8,DL,Delta Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",466.0,106.0,50.14,9.16,14.73,0.0,31.97,6.0,0.0,8290.0,2981.0,1728.0,1123.0,0.0,2458.0
2023,8,DL,Delta Air Lines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",199.0,40.0,25.11,0.0,4.38,0.0,10.51,2.0,1.0,3325.0,2628.0,0.0,202.0,0.0,495.0
2023,8,DL,Delta Air Lines Inc.,CAE,"Columbia, SC: Columbia Metropolitan",133.0,17.0,5.57,2.66,2.42,0.0,6.35,3.0,0.0,880.0,278.0,177.0,94.0,0.0,331.0
2023,8,DL,Delta Air Lines Inc.,CHA,"Chattanooga, TN: Lovell Field",94.0,24.0,13.74,1.22,3.65,0.0,5.4,4.0,0.0,2007.0,1301.0,77.0,118.0,0.0,511.0
2023,8,DL,Delta Air Lines Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",31.0,3.0,1.13,1.0,0.02,0.0,0.85,0.0,0.0,317.0,74.0,83.0,1.0,0.0,159.0
2023,8,DL,Delta Air Lines Inc.,CHS,"Charleston, SC: Charleston AFB/International",347.0,60.0,26.6,2.68,13.18,0.0,17.55,12.0,1.0,3695.0,1801.0,128.0,679.0,0.0,1087.0
2023,8,DL,Delta Air Lines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",31.0,5.0,3.17,0.0,1.25,0.0,0.58,1.0,0.0,341.0,121.0,0.0,186.0,0.0,34.0
2023,8,DL,Delta Air Lines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",275.0,66.0,31.4,2.45,13.62,0.0,18.53,3.0,1.0,5128.0,3025.0,217.0,681.0,0.0,1205.0
2023,8,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",601.0,101.0,46.76,6.63,21.96,0.0,25.65,9.0,1.0,9448.0,5048.0,846.0,1057.0,0.0,2497.0
2023,8,DL,Delta Air Lines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",282.0,47.0,27.25,5.19,7.67,0.0,6.89,3.0,0.0,4062.0,2853.0,300.0,267.0,0.0,642.0
2023,8,DL,Delta Air Lines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",62.0,21.0,14.27,1.36,2.91,0.0,2.46,0.0,0.0,1174.0,679.0,94.0,93.0,0.0,308.0
2023,8,DL,Delta Air Lines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",720.0,151.0,62.56,5.64,25.05,0.0,57.75,10.0,1.0,10779.0,4833.0,539.0,990.0,0.0,4417.0
2023,8,DL,Delta Air Lines Inc.,DAB,"Daytona Beach, FL: Daytona Beach International",124.0,23.0,12.15,0.43,7.21,0.0,3.21,5.0,0.0,1667.0,1031.0,45.0,325.0,0.0,266.0
2023,8,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",265.0,81.0,36.61,4.55,21.32,0.0,18.52,5.0,1.0,6651.0,3383.0,358.0,1027.0,0.0,1883.0
2023,8,DL,Delta Air Lines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",110.0,22.0,10.73,1.01,2.16,0.0,8.1,1.0,0.0,1726.0,1120.0,132.0,99.0,0.0,375.0
2023,8,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",697.0,171.0,82.84,8.11,37.91,0.0,42.14,14.0,8.0,10280.0,4763.0,657.0,1563.0,0.0,3297.0
2023,8,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",1127.0,283.0,111.56,8.07,109.05,0.0,54.32,7.0,4.0,17700.0,8909.0,565.0,4219.0,0.0,4007.0
2023,8,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",953.0,219.0,104.36,4.02,51.67,0.0,58.95,15.0,5.0,13855.0,7495.0,299.0,2232.0,0.0,3829.0
2023,8,DL,Delta Air Lines Inc.,DSM,"Des Moines, IA: Des Moines International",93.0,19.0,6.89,1.24,3.76,0.0,7.1,3.0,0.0,2046.0,1159.0,209.0,293.0,0.0,385.0
2023,8,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",5436.0,899.0,294.11,31.83,182.39,0.59,390.09,115.0,21.0,77603.0,30383.0,3190.0,11167.0,44.0,32819.0
2023,8,DL,Delta Air Lines Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",151.0,36.0,20.02,0.33,5.38,0.0,10.27,3.0,0.0,2235.0,1278.0,38.0,155.0,0.0,764.0
2023,8,DL,Delta Air Lines Inc.,ELP,"El Paso, TX: El Paso International",62.0,12.0,6.23,1.81,1.95,0.0,2.0,2.0,0.0,801.0,435.0,174.0,64.0,0.0,128.0
2023,8,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",586.0,108.0,58.51,6.6,22.4,1.0,19.49,11.0,0.0,7284.0,3903.0,829.0,1505.0,53.0,994.0
2023,8,DL,Delta Air Lines Inc.,EYW,"Key West, FL: Key West International",124.0,27.0,11.04,1.82,9.38,0.0,4.75,5.0,1.0,2250.0,1354.0,114.0,506.0,0.0,276.0
2023,8,DL,Delta Air Lines Inc.,FAI,"Fairbanks, AK: Fairbanks International",93.0,19.0,10.46,1.0,3.76,0.0,3.79,0.0,1.0,2030.0,1612.0,19.0,128.0,0.0,271.0
2023,8,DL,Delta Air Lines Inc.,FAR,"Fargo, ND: Hector International",63.0,9.0,4.54,0.0,0.86,0.0,3.6,0.0,0.0,1031.0,678.0,0.0,36.0,0.0,317.0
2023,8,DL,Delta Air Lines Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",31.0,16.0,7.01,0.0,2.27,0.0,6.72,4.0,0.0,1668.0,877.0,0.0,170.0,0.0,621.0
2023,8,DL,Delta Air Lines Inc.,FCA,"Kalispell, MT: Glacier Park International",93.0,31.0,14.71,0.0,12.48,0.0,3.81,0.0,0.0,1041.0,571.0,0.0,357.0,0.0,113.0
2023,8,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",941.0,224.0,107.04,8.53,70.47,1.45,36.5,10.0,5.0,13794.0,6970.0,847.0,3618.0,79.0,2280.0
2023,8,DL,Delta Air Lines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",62.0,25.0,12.02,0.0,4.73,0.0,8.25,1.0,0.0,2041.0,1329.0,0.0,256.0,0.0,456.0
2023,8,DL,Delta Air Lines Inc.,GEG,"Spokane, WA: Spokane International",356.0,71.0,40.36,2.72,7.3,0.0,20.62,3.0,0.0,5602.0,3071.0,71.0,210.0,0.0,2250.0
2023,8,DL,Delta Air Lines Inc.,GNV,"Gainesville, FL: Gainesville Regional",136.0,27.0,10.7,1.36,6.74,0.0,8.2,7.0,0.0,1984.0,721.0,258.0,275.0,0.0,730.0
2023,8,DL,Delta Air Lines Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",111.0,16.0,10.94,0.0,2.73,0.0,2.34,3.0,0.0,935.0,570.0,0.0,222.0,0.0,143.0
2023,8,DL,Delta Air Lines Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",31.0,10.0,4.05,0.32,2.07,0.0,3.56,0.0,0.0,773.0,274.0,43.0,46.0,0.0,410.0
2023,8,DL,Delta Air Lines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",239.0,52.0,26.89,2.91,10.1,0.0,12.09,3.0,0.0,2955.0,1515.0,230.0,313.0,0.0,897.0
2023,8,DL,Delta Air Lines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",190.0,29.0,14.47,3.77,1.92,0.0,8.84,3.0,0.0,2297.0,975.0,447.0,147.0,0.0,728.0
2023,8,DL,Delta Air Lines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",222.0,36.0,17.55,5.81,3.86,0.0,8.77,5.0,1.0,2089.0,769.0,546.0,153.0,0.0,621.0
2023,8,DL,Delta Air Lines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",291.0,53.0,26.38,1.0,15.25,0.0,10.37,0.0,0.0,3703.0,2560.0,23.0,466.0,0.0,654.0
2023,8,DL,Delta Air Lines Inc.,HOU,"Houston, TX: William P Hobby",110.0,33.0,17.79,0.76,6.4,0.0,8.05,6.0,0.0,3530.0,2599.0,85.0,405.0,0.0,441.0
2023,8,DL,Delta Air Lines Inc.,HPN,"White Plains, NY: Westchester County",62.0,15.0,8.87,0.75,1.52,0.0,3.86,2.0,0.0,764.0,391.0,52.0,116.0,0.0,205.0
2023,8,DL,Delta Air Lines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",198.0,37.0,16.5,4.13,6.92,0.0,9.46,7.0,0.0,2569.0,808.0,728.0,345.0,0.0,688.0
2023,8,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",275.0,55.0,26.25,6.64,7.46,0.0,14.64,3.0,1.0,4191.0,1671.0,623.0,505.0,0.0,1392.0
2023,8,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",706.0,143.0,70.96,5.07,33.69,0.0,33.27,13.0,1.0,13484.0,7736.0,1491.0,1637.0,0.0,2620.0
