airport,arr_flights,delay_rate,cancellation_rate,avg_delay_time,carrier_ct_rate,weather_ct_rate,nas_ct_rate,security_ct_rate,late_aircraft_ct_rate,season,airport_size
ABQ,1003.0,0.23629112662013957,0.011964107676969093,41.21518987341772,0.07217347956131605,0.0014656031904287138,0.026021934197407778,0.0,0.13663010967098704,Summer,Large
ALB,312.0,0.34294871794871795,0.01282051282051282,47.10280373831776,0.1455128205128205,0.003205128205128205,0.04919871794871795,0.0,0.1450320512820513,Summer,Medium
AMA,207.0,0.15942028985507245,0.004830917874396135,29.96969696969697,0.06183574879227054,0.0,0.01826086956521739,0.0,0.07932367149758456,Summer,Small
ATL,2894.5,0.2281259942729876,0.010817690104995227,57.50488145048814,0.05838052815781101,0.008300986318803692,0.06952274896595609,0.0,0.09192173083041681,Summer,Large
AUS,2894.5,0.196591984853266,0.010097822656989587,46.64365971107544,0.058507415588513724,0.003477437677500789,0.03528242347743768,0.0007952035342379299,0.0985295045755759,Summer,Large
BDL,347.0,0.33429394812680113,0.01729106628242075,43.008620689655174,0.15129682997118155,0.0018443804034582133,0.04481268011527378,0.0,0.1363400576368876,Summer,Medium
BHM,326.0,0.23006134969325154,0.015337423312883436,41.413333333333334,0.09858895705521473,0.004601226993865031,0.03880368098159509,0.0,0.08806748466257669,Summer,Medium
BLI,91.0,0.3516483516483517,0.0,44.8125,0.1178021978021978,0.0,0.06483516483516484,0.0,0.1689010989010989,Summer,Small
BNA,2894.5,0.16448007774538387,0.007531584062196307,49.38109305760709,0.045706997084548104,0.004086491739552964,0.027208454810495625,0.0009620991253644315,0.08651603498542275,Summer,Large
BOI,370.0,0.2972972972972973,0.010810810810810811,40.78181818181818,0.10810810810810811,0.0,0.04837837837837838,0.0,0.14081081081081082,Summer,Medium
BOS,605.0,0.35206611570247937,0.006611570247933884,55.67605633802817,0.10646280991735536,0.010727272727272728,0.10067768595041322,0.0,0.13419834710743803,Summer,Large
BUF,378.0,0.31216931216931215,0.013227513227513227,46.20338983050848,0.1470899470899471,0.007566137566137566,0.03251322751322751,0.0,0.125,Summer,Medium
BUR,1828.0,0.22210065645514224,0.04540481400437637,44.320197044334975,0.05682166301969366,0.0012253829321663022,0.029070021881838076,0.0002735229759299781,0.1347155361050328,Summer,Large
BWI,2894.5,0.20460726283794592,0.019356902895536713,52.30570758405004,0.050686290193569024,0.0057862741961286195,0.04386178211486162,0.0010654295312749961,0.10320748680211166,Summer,Large
BZN,178.0,0.2696629213483146,0.0,43.229166666666664,0.11213483146067416,0.005112359550561798,0.02348314606741573,0.0,0.12893258426966292,Summer,Small
CHS,296.0,0.24324324324324326,0.02364864864864865,42.958333333333336,0.0775,0.0,0.04547297297297297,0.0,0.12027027027027028,Summer,Medium
CLE,432.0,0.29398148148148145,0.006944444444444444,45.7007874015748,0.10578703703703704,0.001736111111111111,0.035486111111111114,0.0,0.15097222222222223,Summer,Medium
CLT,254.0,0.2795275590551181,0.0,55.04225352112676,0.09039370078740158,0.0004330708661417323,0.0784251968503937,0.0,0.11027559055118111,Summer,Small
CMH,1003.0,0.24426719840478564,0.01296111665004985,52.51020408163265,0.0917048853439681,0.006630109670987039,0.027856430707876374,0.0021934197407776673,0.11588235294117648,Summer,Large
COS,474.0,0.2616033755274262,0.008438818565400843,48.12096774193548,0.06626582278481012,0.009789029535864979,0.039008438818565395,0.0,0.14656118143459915,Summer,Medium
CRP,114.0,0.12280701754385964,0.017543859649122806,42.357142857142854,0.05,0.0,0.0,0.0,0.07289473684210526,Summer,Small
CVG,225.0,0.29333333333333333,0.0044444444444444444,51.93939393939394,0.09848888888888889,0.0033777777777777777,0.025822222222222222,0.0,0.1656,Summer,Small
DAL,2894.5,0.18006071257389358,0.009106886084038984,45.80479148181011,0.05344943281674389,0.0030324332960536826,0.029217127336635246,0.0008387921393193801,0.09352452468445438,Summer,Large
DCA,1425.0,0.2056140350877193,0.019649122807017545,47.477815699658706,0.06426666666666667,0.0033403508771929825,0.06421754385964913,0.0006807017543859649,0.07310877192982457,Summer,Large
DEN,2894.5,0.25300790649707805,0.01248997364500974,51.67346014492754,0.05633321874641916,0.005920705855391314,0.0859883121347542,0.0004205339750200527,0.10434628165463504,Summer,Large
DSM,151.0,0.3443708609271523,0.0,46.17307692307692,0.11324503311258279,0.0,0.05079470198675497,0.0,0.18033112582781458,Summer,Small
DTW,358.0,0.33798882681564246,0.0111731843575419,42.56198347107438,0.15689944134078213,0.004608938547486033,0.03807262569832402,0.0,0.13840782122905027,Summer,Medium
ECP,316.0,0.25316455696202533,0.0,33.6625,0.052594936708860764,0.0,0.06680379746835442,0.0,0.13373417721518988,Summer,Small
ELP,788.0,0.20558375634517767,0.011421319796954314,42.96913580246913,0.0658756345177665,0.0,0.023756345177664975,0.0,0.1159517766497462,Summer,Medium
EUG,184.0,0.22826086956521738,0.005434782608695652,31.142857142857142,0.05603260869565218,0.0,0.03891304347826087,0.0,0.13331521739130436,Summer,Small
FAT,143.0,0.2727272727272727,0.013986013986013986,45.12820512820513,0.0844055944055944,0.008321678321678322,0.012797202797202797,0.0,0.1672027972027972,Summer,Small
FLL,1315.0,0.23726235741444868,0.006083650190114068,53.09935897435897,0.06602281368821292,0.0033460076045627378,0.07288973384030417,0.00011406844106463878,0.09488973384030418,Summer,Large
GEG,332.0,0.2620481927710843,0.0,42.49425287356322,0.09424698795180722,0.0012951807228915662,0.02960843373493976,0.0,0.1368975903614458,Summer,Medium
GRR,163.0,0.25766871165644173,0.0,42.166666666666664,0.11852760736196319,0.003067484662576687,0.038773006134969326,0.0,0.09730061349693252,Summer,Small
GSP,101.0,0.22772277227722773,0.009900990099009901,51.869565217391305,0.044059405940594064,0.008118811881188119,0.028316831683168314,0.0,0.14732673267326735,Summer,Small
HDN,31.0,0.16129032258064516,0.0,29.2,0.07064516129032258,0.0,0.008064516129032258,0.0,0.08258064516129032,Summer,Small
HNL,1271.0,0.14240755310778913,0.00865460267505901,42.92817679558011,0.047694728560188825,0.0012509834775767112,0.04210070810385523,0.003312352478363493,0.04804878048780488,Summer,Large
HOU,2894.5,0.17797783933518005,0.009233610341643583,47.268482490272376,0.04977377654662973,0.0033379501385041553,0.026759002770083102,0.0001015697137580794,0.09800554016620498,Summer,Large
HRL,180.0,0.12777777777777777,0.0,29.608695652173914,0.03916666666666667,0.0,0.012611111111111111,0.0,0.076,Summer,Small
IAD,174.0,0.27011494252873564,0.0,42.319148936170215,0.11580459770114941,0.0010919540229885059,0.052356321839080455,0.0,0.10086206896551725,Summer,Small
IAH,510.0,0.14901960784313725,0.00980392156862745,39.973684210526315,0.048705882352941175,0.0005490196078431374,0.017921568627450982,0.0,0.08184313725490197,Summer,Medium
ICT,153.0,0.3464052287581699,0.0,40.716981132075475,0.11411764705882353,0.0,0.03130718954248366,0.0,0.20104575163398694,Summer,Small
IND,947.0,0.25237592397043296,0.014783526927138331,50.87866108786611,0.07502639915522703,0.004941921858500528,0.048004223864836326,0.0009714889123548047,0.12342133051742343,Summer,Large
ISP,208.0,0.27403846153846156,0.004807692307692308,46.56140350877193,0.08490384615384615,0.0,0.014903846153846155,0.0,0.1741826923076923,Summer,Medium
ITO,155.0,0.05806451612903226,0.0,48.888888888888886,0.022838709677419355,0.0,0.0036774193548387095,0.0,0.031612903225806455,Summer,Small
JAN,209.0,0.1722488038277512,0.009569377990430622,50.111111111111114,0.06535885167464114,0.0019138755980861245,0.035263157894736843,0.0,0.06971291866028709,Summer,Small
JAX,357.0,0.25210084033613445,0.03361344537815126,41.144444444444446,0.10240896358543418,0.002969187675070028,0.04238095238095238,0.0,0.10434173669467788,Summer,Medium
KOA,372.0,0.17204301075268819,0.002688172043010753,42.390625,0.05943548387096774,0.0,0.05610215053763441,0.0020430107526881723,0.05446236559139785,Summer,Medium
LAS,2894.5,0.23265629121603798,0.03350039567396465,46.72789115646258,0.05493009759957795,0.002883144289105777,0.06453574254814033,0.001597203903983118,0.10871142178844632,Summer,Large
LAX,2753.0,0.2793316382128587,0.012350163458045769,45.57737321196359,0.08225208863058482,0.0027243007628042137,0.048910279694878316,0.0005448601525608427,0.1449001089720305,Summer,Large
LBB,234.0,0.21794871794871795,0.0,43.80392156862745,0.09829059829059829,0.0014102564102564104,0.01405982905982906,0.0,0.10418803418803418,Summer,Small
LGA,1085.0,0.22672811059907835,0.011059907834101382,38.91869918699187,0.08444239631336406,0.004663594470046083,0.061668202764976955,0.0,0.07595391705069124,Summer,Large
LGB,1316.0,0.1899696048632219,0.028875379939209727,38.012,0.05572188449848024,0.00041793313069908816,0.03166413373860182,0.00035714285714285714,0.10180851063829786,Summer,Medium
LIH,372.0,0.17473118279569894,0.002688172043010753,38.707692307692305,0.048602150537634406,0.002096774193548387,0.03674731182795699,0.002311827956989247,0.085,Summer,Small
LIT,209.0,0.28708133971291866,0.0,43.46666666666667,0.10669856459330145,0.0,0.016220095693779905,0.0,0.16421052631578947,Summer,Small
MAF,344.0,0.14244186046511628,0.005813953488372093,44.04081632653061,0.05325581395348837,0.0005523255813953489,0.01319767441860465,0.0,0.0754360465116279,Summer,Medium
MCI,2234.0,0.2394807520143241,0.008504923903312443,47.57383177570093,0.07391226499552372,0.004024171888988362,0.03698746642793196,0.000819158460161146,0.12373769024171889,Summer,Large
MCO,2894.5,0.2315467075038285,0.01225114854517611,51.33730158730159,0.06519754977029096,0.005460949464012251,0.060229709035222054,0.0005972434915773354,0.10005819295558958,Summer,Large
MDW,2894.5,0.21916468780555945,0.012292219583740747,49.07775653282346,0.058917446570750105,0.0031666433859477584,0.042149741584020115,0.0007487079201005727,0.11418354518787541,Summer,Large
MEM,287.0,0.2787456445993031,0.006968641114982578,53.275,0.1310452961672474,0.00602787456445993,0.029303135888501742,0.003484320557491289,0.10885017421602787,Summer,Medium
MHT,242.0,0.3181818181818182,0.012396694214876033,45.15584415584416,0.11706611570247934,0.005206611570247934,0.05140495867768595,0.004132231404958678,0.1403305785123967,Summer,Medium
MIA,453.0,0.293598233995585,0.004415011037527594,51.766917293233085,0.08664459161147903,0.007350993377483444,0.08183222958057396,0.0,0.11777041942604857,Summer,Medium
MKE,752.0,0.2726063829787234,0.014627659574468085,50.03414634146341,0.08006648936170213,0.004441489361702127,0.04228723404255319,0.0,0.14581117021276596,Summer,Large
MSP,695.0,0.26762589928057556,0.004316546762589928,44.86021505376344,0.10712230215827338,0.0032661870503597123,0.029496402877697843,0.0,0.1277410071942446,Summer,Medium
MSY,1587.0,0.20541902961562697,0.008821676118462508,47.217791411042946,0.06810333963453057,0.0028796471329552618,0.026824196597353498,0.000630119722747322,0.10698802772526779,Summer,Large
MTJ,31.0,0.22580645161290322,0.0,25.857142857142858,0.11225806451612903,0.0,0.0029032258064516127,0.0,0.11064516129032259,Summer,Small
MYR,256.0,0.28125,0.0078125,44.19444444444444,0.110546875,0.0019921875,0.0323046875,0.0,0.13640625,Summer,Medium
OAK,2894.5,0.2305185185185185,0.02074074074074074,46.30077120822622,0.06373037037037037,0.0009718518518518518,0.021336296296296298,0.0006814814814814815,0.14380148148148147,Summer,Large
OGG,744.0,0.17473118279569894,0.006720430107526882,44.66153846153846,0.06370967741935483,0.0012768817204301074,0.0788978494623656,0.0013440860215053765,0.02948924731182796,Summer,Medium
OKC,608.0,0.26151315789473684,0.008223684210526315,46.55974842767296,0.08195723684210526,0.005690789473684211,0.03894736842105263,0.0,0.13490131578947367,Summer,Medium
OMA,653.0,0.2572741194486983,0.009188361408882083,43.839285714285715,0.09759571209800919,0.002771822358346095,0.036753445635528334,0.0015313935681470138,0.11863705972434915,Summer,Medium
ONT,1030.0,0.23786407766990292,0.038834951456310676,48.159183673469386,0.07776699029126213,0.001679611650485437,0.02763106796116505,0.000970873786407767,0.12980582524271844,Summer,Large
ORD,851.0,0.27144535840188017,0.01880141010575793,43.865800865800864,0.08122209165687427,0.0019976498237367804,0.10723854289071681,0.0007873090481786135,0.08021151586368978,Summer,Medium
ORF,256.0,0.296875,0.0078125,40.05263157894737,0.12859375,0.003828125,0.0327734375,0.0,0.1316796875,Summer,Small
PBI,177.0,0.20903954802259886,0.005649717514124294,54.108108108108105,0.0692090395480226,0.0,0.08225988700564972,0.0,0.05757062146892655,Summer,Small
PDX,1034.0,0.22920696324951645,0.006769825918762089,45.48945147679325,0.07331721470019342,0.002620889748549323,0.024226305609284335,0.0016150870406189555,0.12741779497098646,Summer,Large
PHL,390.0,0.26666666666666666,0.007692307692307693,44.42307692307692,0.10697435897435897,0.004358974358974359,0.05582051282051282,0.002564102564102564,0.09694871794871796,Summer,Medium
PHX,2894.5,0.20824624738742162,0.02033060991829755,46.29835766423358,0.06106023180695421,0.0018012540376211286,0.030526315789473683,0.0011628348850465514,0.11369371081132434,Summer,Large
PIT,844.0,0.25,0.013033175355450236,45.74407582938389,0.08446682464454977,0.006090047393364929,0.03253554502369668,0.0005924170616113745,0.12631516587677724,Summer,Medium
PNS,186.0,0.16666666666666666,0.0,38.87096774193548,0.04220430107526882,0.010752688172043012,0.04596774193548388,0.0,0.06774193548387096,Summer,Small
PSP,180.0,0.18333333333333332,0.05555555555555555,44.81818181818182,0.05605555555555555,0.0,0.042944444444444445,0.0,0.08427777777777777,Summer,Medium
PVD,418.0,0.2894736842105263,0.023923444976076555,46.63636363636363,0.11485645933014353,0.005406698564593301,0.04119617224880383,0.0,0.12803827751196173,Summer,Medium
PWM,151.0,0.36423841059602646,0.006622516556291391,39.36363636363637,0.1642384105960265,0.0,0.05185430463576159,0.0,0.1481456953642384,Summer,Small
RDU,750.0,0.2786666666666667,0.010666666666666666,42.143540669856456,0.08850666666666666,0.0041600000000000005,0.057280000000000005,0.0028,0.12593333333333334,Summer,Medium
RIC,145.0,0.2206896551724138,0.0,48.53125,0.0909655172413793,0.012275862068965518,0.03255172413793103,0.0,0.08496551724137931,Summer,Small
RNO,772.0,0.26424870466321243,0.023316062176165803,44.44607843137255,0.07356217616580311,0.0022020725388601035,0.022111398963730572,0.0,0.166360103626943,Summer,Medium
ROC,172.0,0.3081395348837209,0.005813953488372093,43.15094339622642,0.13802325581395347,0.005872093023255814,0.03959302325581395,0.0,0.12465116279069768,Summer,Small
RSW,481.0,0.2182952182952183,0.018711018711018712,49.31428571428572,0.0639085239085239,0.008565488565488565,0.03640332640332641,0.0,0.10939708939708939,Summer,Medium
SAN,2894.5,0.24183640478499838,0.04591011962495958,45.350267379679146,0.06789524733268672,0.0015486582605884255,0.05271580989330747,0.00017458777885548014,0.1195021015195603,Summer,Large
SAT,1379.0,0.22915155910079768,0.00870195794053662,47.639240506329116,0.07997099347353155,0.0024945612762871648,0.03300942712110225,0.0010732414793328498,0.11260333575054388,Summer,Large
SAV,208.0,0.16346153846153846,0.02403846153846154,39.8235294117647,0.05605769230769231,0.0,0.06076923076923077,0.0,0.04663461538461538,Summer,Small
SBA,178.0,0.1853932584269663,0.0056179775280898875,44.96969696969697,0.047696629213483145,0.0,0.026235955056179774,0.0,0.11146067415730337,Summer,Small
SDF,395.0,0.2430379746835443,0.012658227848101266,49.916666666666664,0.0940759493670886,0.0,0.034430379746835445,0.0,0.11453164556962026,Summer,Medium
SEA,875.0,0.28,0.004571428571428572,47.57551020408163,0.09698285714285715,0.0071085714285714285,0.05352,0.0,0.1224,Summer,Large
SFO,772.0,0.33678756476683935,0.023316062176165803,51.215384615384615,0.075220207253886,0.0062046632124352335,0.09095854922279793,0.00014248704663212436,0.16426165803108808,Summer,Large
SJC,2894.5,0.2150216018610834,0.02193419740777667,47.12982998454405,0.06634097706879362,0.0004253904951811233,0.020864074443336655,0.0,0.127391159853772,Summer,Large
SJU,335.0,0.3194029850746269,0.008955223880597015,46.64485981308411,0.13125373134328358,0.004298507462686567,0.028776119402985075,0.002626865671641791,0.15244776119402986,Summer,Medium
