year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancellation_rate,avg_delay_time,carrier_ct_rate,weather_ct_rate,nas_ct_rate,security_ct_rate,late_aircraft_ct_rate,season,year_month,airport_size
2023,8,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",1003.0,237.0,72.39,1.47,26.1,0.0,137.04,12.0,0.0,9768.0,2718.0,53.0,1114.0,0.0,5883.0,0.23629112662013957,0.011964107676969093,41.21518987341772,0.07217347956131605,0.0014656031904287138,0.026021934197407778,0.0,0.13663010967098704,Summer,2023-08-01,Large
2023,8,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",312.0,107.0,45.4,1.0,15.35,0.0,45.25,4.0,0.0,5040.0,2004.0,50.0,484.0,0.0,2502.0,0.34294871794871795,0.01282051282051282,47.10280373831776,0.1455128205128205,0.003205128205128205,0.04919871794871795,0.0,0.1450320512820513,Summer,2023-08-01,Medium
2023,8,WN,Southwest Airlines Co.,AMA,"Amarillo, TX: Rick Husband Amarillo International",207.0,33.0,12.8,0.0,3.78,0.0,16.42,1.0,0.0,989.0,403.0,0.0,93.0,0.0,493.0,0.15942028985507245,0.004830917874396135,29.96969696969697,0.06183574879227054,0.0,0.01826086956521739,0.0,0.07932367149758456,Summer,2023-08-01,Small
2023,8,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2894.5,717.0,183.49,26.09,218.51,0.0,288.91,34.0,15.0,29438.0,9166.0,2453.0,14291.0,0.0,15321.0,0.2281259942729876,0.010817690104995227,57.50488145048814,0.05838052815781101,0.008300986318803692,0.06952274896595609,0.0,0.09192173083041681,Summer,2023-08-01,Large
2023,8,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",2894.5,623.0,185.41,11.02,111.81,2.52,312.24,32.0,10.0,29059.0,8067.0,816.0,3928.0,97.0,16151.0,0.196591984853266,0.010097822656989587,46.64365971107544,0.058507415588513724,0.003477437677500789,0.03528242347743768,0.0007952035342379299,0.0985295045755759,Summer,2023-08-01,Large
2023,8,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",347.0,116.0,52.5,0.64,15.55,0.0,47.31,6.0,0.0,4989.0,2026.0,49.0,516.0,0.0,2398.0,0.33429394812680113,0.01729106628242075,43.008620689655174,0.15129682997118155,0.0018443804034582133,0.04481268011527378,0.0,0.1363400576368876,Summer,2023-08-01,Medium
2023,8,WN,Southwest Airlines Co.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",326.0,75.0,32.14,1.5,12.65,0.0,28.71,5.0,1.0,3106.0,1280.0,56.0,475.0,0.0,1295.0,0.23006134969325154,0.015337423312883436,41.413333333333334,0.09858895705521473,0.004601226993865031,0.03880368098159509,0.0,0.08806748466257669,Summer,2023-08-01,Medium
2023,8,WN,Southwest Airlines Co.,BLI,"Bellingham, WA: Bellingham International",91.0,32.0,10.72,0.0,5.9,0.0,15.37,0.0,0.0,1434.0,524.0,0.0,213.0,0.0,697.0,0.3516483516483517,0.0,44.8125,0.1178021978021978,0.0,0.06483516483516484,0.0,0.1689010989010989,Summer,2023-08-01,Small
2023,8,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",2894.5,677.0,188.13,16.82,111.99,3.96,356.1,31.0,8.0,29438.0,8935.0,1384.0,4666.0,249.0,18197.0,0.16448007774538387,0.007531584062196307,49.38109305760709,0.045706997084548104,0.004086491739552964,0.027208454810495625,0.0009620991253644315,0.08651603498542275,Summer,2023-08-01,Large
2023,8,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",370.0,110.0,40.0,0.0,17.9,0.0,52.1,4.0,1.0,4486.0,1440.0,0.0,522.0,0.0,2524.0,0.2972972972972973,0.010810810810810811,40.78181818181818,0.10810810810810811,0.0,0.04837837837837838,0.0,0.14081081081081082,Summer,2023-08-01,Medium
2023,8,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",605.0,213.0,64.41,6.49,60.91,0.0,81.19,4.0,1.0,11859.0,3283.0,827.0,3357.0,0.0,4392.0,0.35206611570247937,0.006611570247933884,55.67605633802817,0.10646280991735536,0.010727272727272728,0.10067768595041322,0.0,0.13419834710743803,Summer,2023-08-01,Large
2023,8,WN,Southwest Airlines Co.,BUF,"Buffalo, NY: Buffalo Niagara International",378.0,118.0,55.6,2.86,12.29,0.0,47.25,5.0,1.0,5452.0,1852.0,650.0,589.0,0.0,2361.0,0.31216931216931215,0.013227513227513227,46.20338983050848,0.1470899470899471,0.007566137566137566,0.03251322751322751,0.0,0.125,Summer,2023-08-01,Medium
2023,8,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1828.0,406.0,103.87,2.24,53.14,0.5,246.26,83.0,4.0,17994.0,4204.0,136.0,2111.0,15.0,11528.0,0.22210065645514224,0.04540481400437637,44.320197044334975,0.05682166301969366,0.0012253829321663022,0.029070021881838076,0.0002735229759299781,0.1347155361050328,Summer,2023-08-01,Large
2023,8,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2894.5,1279.0,316.84,36.17,274.18,6.66,645.15,121.0,6.0,29438.0,16841.0,3204.0,13062.0,312.0,33480.0,0.20460726283794592,0.019356902895536713,52.30570758405004,0.050686290193569024,0.0057862741961286195,0.04386178211486162,0.0010654295312749961,0.10320748680211166,Summer,2023-08-01,Large
2023,8,WN,Southwest Airlines Co.,BZN,"Bozeman, MT: Bozeman Yellowstone International",178.0,48.0,19.96,0.91,4.18,0.0,22.95,0.0,0.0,2075.0,666.0,43.0,163.0,0.0,1203.0,0.2696629213483146,0.0,43.229166666666664,0.11213483146067416,0.005112359550561798,0.02348314606741573,0.0,0.12893258426966292,Summer,2023-08-01,Small
2023,8,WN,Southwest Airlines Co.,CHS,"Charleston, SC: Charleston AFB/International",296.0,72.0,22.94,0.0,13.46,0.0,35.6,7.0,2.0,3093.0,831.0,0.0,458.0,0.0,1804.0,0.24324324324324326,0.02364864864864865,42.958333333333336,0.0775,0.0,0.04547297297297297,0.0,0.12027027027027028,Summer,2023-08-01,Medium
2023,8,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",432.0,127.0,45.7,0.75,15.33,0.0,65.22,3.0,2.0,5804.0,1804.0,57.0,776.0,0.0,3167.0,0.29398148148148145,0.006944444444444444,45.7007874015748,0.10578703703703704,0.001736111111111111,0.035486111111111114,0.0,0.15097222222222223,Summer,2023-08-01,Medium
2023,8,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",254.0,71.0,22.96,0.11,19.92,0.0,28.01,0.0,1.0,3908.0,1035.0,20.0,1221.0,0.0,1632.0,0.2795275590551181,0.0,55.04225352112676,0.09039370078740158,0.0004330708661417323,0.0784251968503937,0.0,0.11027559055118111,Summer,2023-08-01,Small
