year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",1003.0,237.0,72.39,1.47,26.1,0.0,137.04,12.0,0.0,9768.0,2718.0,53.0,1114.0,0.0,5883.0
2023,8,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",312.0,107.0,45.4,1.0,15.35,0.0,45.25,4.0,0.0,5040.0,2004.0,50.0,484.0,0.0,2502.0
2023,8,WN,Southwest Airlines Co.,AMA,"Amarillo, TX: Rick Husband Amarillo International",207.0,33.0,12.8,0.0,3.78,0.0,16.42,1.0,0.0,989.0,403.0,0.0,93.0,0.0,493.0
2023,8,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3143.0,717.0,183.49,26.09,218.51,0.0,288.91,34.0,15.0,41231.0,9166.0,2453.0,14291.0,0.0,15321.0
2023,8,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",3169.0,623.0,185.41,11.02,111.81,2.52,312.24,32.0,10.0,29059.0,8067.0,816.0,3928.0,97.0,16151.0
2023,8,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",347.0,116.0,52.5,0.64,15.55,0.0,47.31,6.0,0.0,4989.0,2026.0,49.0,516.0,0.0,2398.0
2023,8,WN,Southwest Airlines Co.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",326.0,75.0,32.14,1.5,12.65,0.0,28.71,5.0,1.0,3106.0,1280.0,56.0,475.0,0.0,1295.0
2023,8,WN,Southwest Airlines Co.,BLI,"Bellingham, WA: Bellingham International",91.0,32.0,10.72,0.0,5.9,0.0,15.37,0.0,0.0,1434.0,524.0,0.0,213.0,0.0,697.0
2023,8,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",4116.0,677.0,188.13,16.82,111.99,3.96,356.1,31.0,8.0,33431.0,8935.0,1384.0,4666.0,249.0,18197.0
2023,8,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",370.0,110.0,40.0,0.0,17.9,0.0,52.1,4.0,1.0,4486.0,1440.0,0.0,522.0,0.0,2524.0
2023,8,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",605.0,213.0,64.41,6.49,60.91,0.0,81.19,4.0,1.0,11859.0,3283.0,827.0,3357.0,0.0,4392.0
2023,8,WN,Southwest Airlines Co.,BUF,"Buffalo, NY: Buffalo Niagara International",378.0,118.0,55.6,2.86,12.29,0.0,47.25,5.0,1.0,5452.0,1852.0,650.0,589.0,0.0,2361.0
2023,8,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1828.0,406.0,103.87,2.24,53.14,0.5,246.26,83.0,4.0,17994.0,4204.0,136.0,2111.0,15.0,11528.0
2023,8,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6251.0,1279.0,316.84,36.17,274.18,6.66,645.15,121.0,6.0,66899.0,16841.0,3204.0,13062.0,312.0,33480.0
2023,8,WN,Southwest Airlines Co.,BZN,"Bozeman, MT: Bozeman Yellowstone International",178.0,48.0,19.96,0.91,4.18,0.0,22.95,0.0,0.0,2075.0,666.0,43.0,163.0,0.0,1203.0
2023,8,WN,Southwest Airlines Co.,CHS,"Charleston, SC: Charleston AFB/International",296.0,72.0,22.94,0.0,13.46,0.0,35.6,7.0,2.0,3093.0,831.0,0.0,458.0,0.0,1804.0
2023,8,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",432.0,127.0,45.7,0.75,15.33,0.0,65.22,3.0,2.0,5804.0,1804.0,57.0,776.0,0.0,3167.0
2023,8,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",254.0,71.0,22.96,0.11,19.92,0.0,28.01,0.0,1.0,3908.0,1035.0,20.0,1221.0,0.0,1632.0
2023,8,WN,Southwest Airlines Co.,CMH,"Columbus, OH: John Glenn Columbus International",1003.0,245.0,91.98,6.65,27.94,2.2,116.23,13.0,0.0,12865.0,4364.0,410.0,1440.0,154.0,6497.0
2023,8,WN,Southwest Airlines Co.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",474.0,124.0,31.41,4.64,18.49,0.0,69.47,4.0,2.0,5967.0,1265.0,389.0,935.0,0.0,3378.0
2023,8,WN,Southwest Airlines Co.,CRP,"Corpus Christi, TX: Corpus Christi International",114.0,14.0,5.7,0.0,0.0,0.0,8.31,2.0,0.0,593.0,198.0,0.0,0.0,0.0,395.0
2023,8,WN,Southwest Airlines Co.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",225.0,66.0,22.16,0.76,5.81,0.0,37.26,1.0,0.0,3428.0,936.0,16.0,202.0,0.0,2274.0
2023,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",6259.0,1127.0,334.54,18.98,182.87,5.25,585.37,57.0,9.0,51622.0,14826.0,1476.0,6259.0,212.0,28849.0
2023,8,WN,Southwest Airlines Co.,DCA,"Washington, DC: Ronald Reagan Washington National",1425.0,293.0,91.58,4.76,91.51,0.97,104.18,28.0,4.0,13911.0,3653.0,297.0,3772.0,64.0,6125.0
2023,8,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",8727.0,2208.0,491.62,51.67,750.42,3.67,910.63,109.0,33.0,114095.0,23438.0,4122.0,38031.0,228.0,48276.0
2023,8,WN,Southwest Airlines Co.,DSM,"Des Moines, IA: Des Moines International",151.0,52.0,17.1,0.0,7.67,0.0,27.23,0.0,0.0,2401.0,589.0,0.0,248.0,0.0,1564.0
2023,8,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",358.0,121.0,56.17,1.65,13.63,0.0,49.55,4.0,1.0,5150.0,2054.0,309.0,439.0,0.0,2348.0
2023,8,WN,Southwest Airlines Co.,ECP,"Panama City, FL: Northwest Florida Beaches International",316.0,80.0,16.62,0.0,21.11,0.0,42.26,0.0,1.0,2693.0,702.0,0.0,651.0,0.0,1340.0
2023,8,WN,Southwest Airlines Co.,ELP,"El Paso, TX: El Paso International",788.0,162.0,51.91,0.0,18.72,0.0,91.37,9.0,1.0,6961.0,2068.0,0.0,694.0,0.0,4199.0
2023,8,WN,Southwest Airlines Co.,EUG,"Eugene, OR: Mahlon Sweet Field",184.0,42.0,10.31,0.0,7.16,0.0,24.53,1.0,0.0,1308.0,378.0,0.0,173.0,0.0,757.0
2023,8,WN,Southwest Airlines Co.,FAT,"Fresno, CA: Fresno Yosemite International",143.0,39.0,12.07,1.19,1.83,0.0,23.91,2.0,0.0,1760.0,355.0,189.0,123.0,0.0,1093.0
2023,8,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1315.0,312.0,86.82,4.4,95.85,0.15,124.78,8.0,24.0,16567.0,3996.0,415.0,5441.0,11.0,6704.0
2023,8,WN,Southwest Airlines Co.,GEG,"Spokane, WA: Spokane International",332.0,87.0,31.29,0.43,9.83,0.0,45.45,0.0,0.0,3697.0,1283.0,44.0,310.0,0.0,2060.0
2023,8,WN,Southwest Airlines Co.,GRR,"Grand Rapids, MI: Gerald R. Ford International",163.0,42.0,19.32,0.5,6.32,0.0,15.86,0.0,0.0,1771.0,604.0,36.0,355.0,0.0,776.0
2023,8,WN,Southwest Airlines Co.,GSP,"Greer, SC: Greenville-Spartanburg International",101.0,23.0,4.45,0.82,2.86,0.0,14.88,1.0,0.0,1193.0,204.0,120.0,109.0,0.0,760.0
2023,8,WN,Southwest Airlines Co.,HDN,"Hayden, CO: Yampa Valley",31.0,5.0,2.19,0.0,0.25,0.0,2.56,0.0,0.0,146.0,64.0,0.0,4.0,0.0,78.0
2023,8,WN,Southwest Airlines Co.,HNL,"Honolulu, HI: Daniel K Inouye International",1271.0,181.0,60.62,1.59,53.51,4.21,61.07,11.0,2.0,7770.0,2937.0,111.0,1562.0,79.0,3081.0
2023,8,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",4332.0,771.0,215.62,14.46,115.92,0.44,424.56,40.0,4.0,36444.0,9550.0,1018.0,4913.0,18.0,20945.0
2023,8,WN,Southwest Airlines Co.,HRL,"Harlingen/San Benito, TX: Valley International",180.0,23.0,7.05,0.0,2.27,0.0,13.68,0.0,0.0,681.0,268.0,0.0,44.0,0.0,369.0
2023,8,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",174.0,47.0,20.15,0.19,9.11,0.0,17.55,0.0,0.0,1989.0,699.0,15.0,392.0,0.0,883.0
